pdv,fecha,pago,cp,banco
PDV 109471,20220611,37.00,1,BANCO 9
PDV 110807,20230403,5.00,1,BANCO 9
PDV 98035,20210920,100.00,1,BANCO 75
PDV 47710,20220614,30.00,1,BANCO 87
PDV 90419,20211225,90.00,1,BANCO 85
PDV 92725,20220517,100.00,1,BANCO 87
PDV 50701,20220624,20.00,1,BANCO 9
PDV 97760,20220915,100.00,1,BANCO 9
PDV 107671,20230406,10.00,1,BANCO 86
PDV 96210,20230322,50.00,1,BANCO 9
PDV 102353,20211211,46.00,1,BANCO 9
PDV 99122,20220412,30.00,1,BANCO 86
PDV 109198,20220319,50.00,1,BANCO 85
PDV 100773,20220704,15.00,1,BANCO 9
PDV 110987,20220803,100.00,1,BANCO 9
PDV 19730,20220903,120.00,1,BANCO 86
PDV 106305,20220214,100.00,1,BANCO 86
PDV 111027,20230302,100.00,1,BANCO 9
PDV 427,20230529,538.15,1,BANCO 9
PDV 115049,20230324,10.00,1,BANCO 9
PDV 103783,20230506,100.00,1,BANCO 82
PDV 40761,20211005,230.00,1,BANCO 82
PDV 3462,20211214,300.00,1,BANCO 82
PDV 92475,20210702,5.00,1,BANCO 9
PDV 99206,20220519,50.00,1,BANCO 3
PDV 50634,20220218,100.00,1,BANCO 85
PDV 39969,20220912,98.39,1,BANCO 83
PDV 105929,20210825,55.00,1,BANCO 9
PDV 95597,20210730,330.00,1,BANCO 83
PDV 106740,20220111,40.00,1,BANCO 82
PDV 105298,20211004,25.00,1,BANCO 9
PDV 29256,20211122,25.00,1,BANCO 3
PDV 44570,20220106,20.00,1,BANCO 82
PDV 45016,20220816,50.00,1,BANCO 74
PDV 104634,20220801,20.00,1,BANCO 86
PDV 111311,20230208,200.00,1,BANCO 9
PDV 110233,20230426,31.00,1,BANCO 9
PDV 49850,20210717,44.00,1,BANCO 85
PDV 108773,20220506,100.00,1,BANCO 82
PDV 102752,20220608,138.75,1,BANCO 82
PDV 98486,20220915,40.00,1,BANCO 87
PDV 106196,20221116,300.00,1,BANCO 86
PDV 110952,20221101,80.00,1,BANCO 9
PDV 49698,20210701,150.00,1,BANCO 82
PDV 51007,20220504,9.00,1,BANCO 86
PDV 103434,20220304,10.00,1,BANCO 9
PDV 98035,20220511,80.00,1,BANCO 75
PDV 28350,20220704,160.00,1,BANCO 85
PDV 101874,20220903,50.00,1,BANCO 9
PDV 111608,20230204,295.00,1,BANCO 9
PDV 100581,20221231,12.00,1,BANCO 9
PDV 94978,20221202,100.00,1,BANCO 9
PDV 108813,20230114,50.00,1,BANCO 9
PDV 61382,20230703,100.00,1,BANCO 83
PDV 114978,20230714,110.00,1,BANCO 52
PDV 20378,20211020,50.00,1,BANCO 82
PDV 105222,20211020,50.00,1,BANCO 83
PDV 103817,20211126,17.00,1,BANCO 87
PDV 43477,20220307,50.00,1,BANCO 9
PDV 34878,20220523,100.93,1,BANCO 86
PDV 109471,20220312,50.00,1,BANCO 9
PDV 97803,20220919,100.00,1,BANCO 9
PDV 109446,20221011,20.00,1,BANCO 9
PDV 97580,20220702,100.00,1,BANCO 9
PDV 48011,20221007,150.00,1,BANCO 85
PDV 107201,20230215,20.00,1,BANCO 86
PDV 111875,20230518,16.00,1,BANCO 9
PDV 49698,20210705,200.00,1,BANCO 82
PDV 30351,20211214,10.00,1,BANCO 9
PDV 46261,20220129,140.00,1,BANCO 86
PDV 94684,20220325,250.00,1,BANCO 82
PDV 115098,20230106,100.00,1,BANCO 9
PDV 16048,20211203,60.00,1,BANCO 9
PDV 97553,20211012,260.00,1,BANCO 86
PDV 105591,20210705,25.00,1,BANCO 9
PDV 101050,20211008,60.00,1,BANCO 9
PDV 104674,20211025,190.00,1,BANCO 83
PDV 43696,20220209,70.00,1,BANCO 9
PDV 46919,20230130,150.00,1,BANCO 82
PDV 97584,20230216,150.00,1,BANCO 75
PDV 115059,20221218,13.00,1,BANCO 9
PDV 50311,20220309,50.00,1,BANCO 9
PDV 94853,20220309,60.00,1,BANCO 9
PDV 105738,20230531,21.00,1,BANCO 9
PDV 103769,20230411,100.00,1,BANCO 83
PDV 103807,20220418,100.00,1,BANCO 82
PDV 92564,20220317,10.00,1,BANCO 86
PDV 1592,20220531,345.00,1,BANCO 2
PDV 104815,20230115,100.00,1,BANCO 9
PDV 100259,20220213,100.00,1,BANCO 9
PDV 98701,20230516,225.00,1,BANCO 74
PDV 99790,20210901,105.00,1,BANCO 82
PDV 97561,20220111,104.00,1,BANCO 9
PDV 101475,20220504,170.00,1,BANCO 9
PDV 103383,20220615,180.00,1,BANCO 9
PDV 103126,20220905,22.22,1,BANCO 86
PDV 111644,20230311,9.00,1,BANCO 83
PDV 109729,20221222,40.00,1,BANCO 9
PDV 47744,20230320,100.00,1,BANCO 9
PDV 105818,20210705,200.00,1,BANCO 9
PDV 106008,20210713,90.00,1,BANCO 85
PDV 108284,20211209,30.00,1,BANCO 9
PDV 107467,20211207,50.00,1,BANCO 74
PDV 17643,20220308,50.00,1,BANCO 86
PDV 105012,20221024,10.00,1,BANCO 9
PDV 104940,20230714,13.10,1,BANCO 9
PDV 105086,20230131,295.00,1,BANCO 9
PDV 116148,20230612,20.00,1,BANCO 75
PDV 92688,20221202,325.33,1,BANCO 82
PDV 99457,20221007,0.05,1,BANCO 7
PDV 112216,20220913,100.00,1,BANCO 9
PDV 101225,20221209,20.00,1,BANCO 83
PDV 39969,20220214,45.00,1,BANCO 83
PDV 109590,20230426,20.00,1,BANCO 9
PDV 116678,20230119,20.00,1,BANCO 9
PDV 100425,20210720,100.00,1,BANCO 9
PDV 104523,20210823,50.00,1,BANCO 9
PDV 95650,20211024,126.00,1,BANCO 86
PDV 105471,20210916,30.00,1,BANCO 85
PDV 95597,20220518,610.00,1,BANCO 3
PDV 103964,20220505,5.00,1,BANCO 86
PDV 107470,20230712,66.50,1,BANCO 9
PDV 108465,20220718,12.54,1,BANCO 86
PDV 110840,20220721,32.00,1,BANCO 83
PDV 103531,20220428,100.00,1,BANCO 83
PDV 97553,20220922,23.00,1,BANCO 9
PDV 108652,20221205,60.00,1,BANCO 9
PDV 94863,20221217,447.00,1,BANCO 83
PDV 11265,20210710,80.00,1,BANCO 9
PDV 104664,20211026,48.00,1,BANCO 3
PDV 40630,20211227,20.75,1,BANCO 9
PDV 99410,20211105,80.00,1,BANCO 9
PDV 44106,20220106,60.00,1,BANCO 83
PDV 94635,20220303,200.00,1,BANCO 86
PDV 98873,20230615,90.00,1,BANCO 82
PDV 110325,20230703,50.00,1,BANCO 9
PDV 27363,20230710,50.00,1,BANCO 9
PDV 106896,20230720,15.00,1,BANCO 9
PDV 105918,20230610,20.00,1,BANCO 82
PDV 108426,20230725,75.00,1,BANCO 9
PDV 96230,20211202,20.00,1,BANCO 86
PDV 106051,20220712,225.00,1,BANCO 74
PDV 11698,20221109,100.00,1,BANCO 82
PDV 37705,20220930,25.00,1,BANCO 85
PDV 111718,20221212,100.00,1,BANCO 82
PDV 103549,20230526,20.00,1,BANCO 9
PDV 104640,20210726,10.00,1,BANCO 86
PDV 101267,20210929,200.00,1,BANCO 82
PDV 106966,20220126,75.00,1,BANCO 75
PDV 105547,20220720,200.00,1,BANCO 9
PDV 45131,20220413,50.00,1,BANCO 85
PDV 3,20221214,481.49,1,BANCO 85
PDV 92320,20230606,150.00,1,BANCO 86
PDV 102083,20230512,100.00,1,BANCO 9
PDV 117826,20230703,130.00,1,BANCO 9
PDV 46327,20210707,100.00,1,BANCO 87
PDV 99840,20211115,80.00,1,BANCO 86
PDV 101274,20210715,53.00,1,BANCO 75
PDV 14990,20211129,40.00,1,BANCO 9
PDV 100174,20211210,150.00,1,BANCO 52
PDV 31815,20210824,15.00,1,BANCO 86
PDV 105086,20230705,2500.00,1,BANCO 9
PDV 116916,20230706,27.00,1,BANCO 83
PDV 58990,20211025,280.00,1,BANCO 86
PDV 108139,20220308,50.00,1,BANCO 85
PDV 108927,20220316,40.00,1,BANCO 9
PDV 107800,20220731,20.00,1,BANCO 9
PDV 108813,20220813,60.00,1,BANCO 83
PDV 115060,20230406,20.00,1,BANCO 82
PDV 101191,20210713,13.37,1,BANCO 9
PDV 103594,20210904,60.00,1,BANCO 9
PDV 2875,20210730,100.00,1,BANCO 9
PDV 95162,20210721,60.00,1,BANCO 74
PDV 101657,20211025,5.00,1,BANCO 85
PDV 101796,20220614,50.00,1,BANCO 9
PDV 103101,20220922,25.00,1,BANCO 9
PDV 45106,20220212,60.00,1,BANCO 82
PDV 117643,20230718,38.74,1,BANCO 86
PDV 106961,20230610,30.00,1,BANCO 85
PDV 109688,20230409,20.00,1,BANCO 130
PDV 48710,20211020,200.00,1,BANCO 83
PDV 50718,20210901,200.00,1,BANCO 9
PDV 105547,20211208,250.00,1,BANCO 9
PDV 99692,20220113,20.00,1,BANCO 9
PDV 48461,20220429,50.00,1,BANCO 9
PDV 105929,20220225,60.00,1,BANCO 9
PDV 91861,20220226,40.00,1,BANCO 9
PDV 111644,20220916,50.00,1,BANCO 83
PDV 39991,20220915,4000.00,1,BANCO 83
PDV 108894,20220730,20.00,1,BANCO 9
PDV 105537,20220901,50.00,1,BANCO 9
PDV 99834,20220908,70.00,1,BANCO 9
PDV 107674,20211207,10.00,1,BANCO 86
PDV 103101,20210918,30.00,1,BANCO 82
PDV 93564,20211217,105.00,1,BANCO 86
PDV 101720,20210905,10.00,1,BANCO 9
PDV 103424,20220302,4.29,1,BANCO 7
PDV 110528,20220705,34.50,1,BANCO 9
PDV 105836,20220509,120.00,1,BANCO 9
PDV 111046,20221128,10.00,1,BANCO 9
PDV 99252,20221213,5.25,1,BANCO 9
PDV 108104,20230522,15.00,1,BANCO 82
PDV 99487,20230309,30.00,1,BANCO 82
PDV 111958,20230421,30.00,1,BANCO 82
PDV 1592,20210901,1.00,1,BANCO 2
PDV 104453,20210723,60.00,1,BANCO 86
PDV 92638,20211002,70.00,1,BANCO 82
PDV 50193,20220630,100.00,1,BANCO 9
PDV 107740,20220923,700.00,1,BANCO 86
PDV 49221,20230223,4000.00,1,BANCO 9
PDV 94863,20230604,500.00,1,BANCO 9
PDV 111347,20230430,38.00,1,BANCO 9
PDV 101412,20230214,50.00,1,BANCO 82
PDV 33270,20221125,50.00,1,BANCO 9
PDV 110381,20230414,40.00,1,BANCO 9
PDV 26086,20230605,373.00,1,BANCO 9
PDV 47991,20220916,30.00,1,BANCO 82
PDV 108058,20230124,100.00,1,BANCO 52
PDV 98896,20210901,20.00,1,BANCO 9
PDV 15372,20210917,82.00,1,BANCO 83
